id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,PBP,team_box,player_box
401487718,s:40~l:41~e:401487718~c:401487718,2022-11-08T00:30Z,3772,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:30Z,"","",0,N/A,2200,Kaplan Arena,Williamsburg,VA,8600,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2729,s:40~l:41~t:2729,William & Mary,Tribe,W&M,William & Mary Tribe,William & Mary,103217,f6b220,TRUE,2200,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,10,59,FALSE,2426,s:40~l:41~t:2426,Navy,Midshipmen,NAVY,Navy Midshipmen,Navy,131630,b6a77c,TRUE,2176,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,22,74,TRUE,401487718,2023,2,,,,,,,TRUE,TRUE,TRUE
401487486,s:40~l:41~e:401487486~c:401487486,2022-11-08T00:30Z,4963,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:30Z,"","",0,N/A,1984,William D. Mullins Memorial Center,Amherst,MA,9493,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,113,s:40~l:41~t:113,UMass,Minutemen,MASS,UMass Minutemen,UMass,880007,,TRUE,1984,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,3,94,TRUE,2115,s:40~l:41~t:2115,Central Connecticut,Blue Devils,CCSU,Central Connecticut Blue Devils,C Connecticut,1B49A2,d1d5d8,TRUE,2144,https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,19,67,FALSE,401487486,2023,2,,,,,,,TRUE,TRUE,TRUE
401487363,s:40~l:41~e:401487363~c:401487363,2022-11-08T00:30Z,752,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:30Z,"","",0,N/A,2007,Rose Hill Gymnasium,Bronx,NY,3200,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2230,s:40~l:41~t:2230,Fordham,Rams,FOR,Fordham Rams,Fordham,830032,909090,TRUE,2007,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,3,88,TRUE,159,s:40~l:41~t:159,Dartmouth,Big Green,DART,Dartmouth Big Green,Dartmouth,005730,000000,TRUE,2004,https://a.espncdn.com/i/teamlogos/ncaa/500/159.png,12,74,FALSE,401487363,2023,2,,,,,,,TRUE,TRUE,TRUE
401487131,s:40~l:41~e:401487131~c:401487131,2022-11-08T00:30Z,3991,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:30Z,"","",0,N/A,2155,Bartow Arena,Birmingham,AL,8500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,5,s:40~l:41~t:5,UAB,Blazers,UAB,UAB Blazers,UAB,054338,ffc845,TRUE,2155,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,11,111,TRUE,2011,s:40~l:41~t:2011,Alabama State,Hornets,ALST,Alabama State Hornets,Alabama St,e9a900,0a0a0a,TRUE,2204,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,26,70,FALSE,401487131,2023,2,,,,,,,TRUE,TRUE,TRUE
401485470,s:40~l:41~e:401485470~c:401485470,2022-11-08T00:30Z,2301,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:30Z,"","",0,N/A,1989,Joseph G. Echols Hall,Norfolk,VA,4500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2450,s:40~l:41~t:2450,Norfolk State,Spartans,NORF,Norfolk State Spartans,Norfolk St,046546,,TRUE,1989,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,16,109,TRUE,3229,s:40~l:41~t:3229,VU of Lynchburg,Dragons,VULYN,VU of Lynchburg Dragons,VU of Lynchburg,,,FALSE,,,,59,FALSE,401485470,2023,2,,,,,,,TRUE,TRUE,TRUE
401485098,s:40~l:41~e:401485098~c:401485098,2022-11-08T00:30Z,9116,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:30Z,"","",0,N/A,64,XL Center,Hartford,CT,15564,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,85,TRUE,284,s:40~l:41~t:284,Stonehill,Skyhawks,STO,Stonehill Skyhawks,Stonehill,000000,,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/284.png,19,54,FALSE,401485098,2023,2,,,,,,,TRUE,TRUE,TRUE
401482929,s:40~l:41~e:401482929~c:401482929,2022-11-08T00:30Z,4789,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:30Z,"","",0,N/A,1985,Watsco Center,Coral Gables,FL,7972,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2390,s:40~l:41~t:2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,004325,f0f0f0,TRUE,1985,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,2,67,TRUE,322,s:40~l:41~t:322,Lafayette,Leopards,LAF,Lafayette Leopards,Lafayette,790000,a59474,TRUE,2132,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png,22,54,FALSE,401482929,2023,2,,,,,,,TRUE,TRUE,TRUE
401482906,s:40~l:41~e:401482906~c:401482906,2022-11-08T00:00Z,9314,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,71,TRUE,294,s:40~l:41~t:294,Jacksonville,Dolphins,JAX,Jacksonville Dolphins,Jacksonville,00523e,,TRUE,1994,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png,46,44,FALSE,401482906,2023,2,,,,,,,TRUE,TRUE,TRUE
401483235,s:40~l:41~e:401483235~c:401483235,2022-11-08T00:00Z,17957,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,2044,Thompson-Boling Arena,Knoxville,TN,21678,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,75,TRUE,2635,s:40~l:41~t:2635,Tennessee Tech,Golden Eagles,TNTC,Tennessee Tech Golden Eagles,Tennessee Tech,5A4099,ffde00,TRUE,2152,https://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,20,43,FALSE,401483235,2023,2,,,,,,,TRUE,TRUE,TRUE
401483344,s:40~l:41~e:401483344~c:401483344,2022-11-08T00:00Z,17222,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,2092,Simon Skjodt Assembly Hall,Bloomington,IN,17222,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,84,s:40~l:41~t:84,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,7D110C,eeedeb,TRUE,2092,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,7,88,TRUE,2413,s:40~l:41~t:2413,Morehead State,Eagles,MORE,Morehead State Eagles,Morehead St,094FA3,fed91a,TRUE,2174,https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,20,53,FALSE,401483344,2023,2,,,,,,,TRUE,TRUE,TRUE
