id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
401344140,s:40~l:46~e:401344140~c:401344140,2021-07-21T01:00Z,17397,TRUE,FALSE,FALSE,FALSE,2021-07-21T01:00Z,event,NBA Finals - Game 6,17,FINAL,5777,Fiserv Forum,Milwaukee,WI,17341,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,105,TRUE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,98,FALSE,401344140,2021,3,"",TRUE,TRUE,TRUE,2021-07-21T01:00:00Z,2021-07-20
401344139,s:40~l:46~e:401344139~c:401344139,2021-07-18T01:00Z,16562,TRUE,FALSE,FALSE,FALSE,2021-07-18T01:00Z,event,NBA Finals - Game 5,17,FINAL,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,119,FALSE,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,123,TRUE,401344139,2021,3,"",TRUE,TRUE,TRUE,2021-07-18T01:00:00Z,2021-07-17
401344138,s:40~l:46~e:401344138~c:401344138,2021-07-15T01:00Z,16911,TRUE,FALSE,FALSE,FALSE,2021-07-15T01:00Z,event,NBA Finals - Game 4,17,FINAL,5777,Fiserv Forum,Milwaukee,WI,17341,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,109,TRUE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,103,FALSE,401344138,2021,3,"",TRUE,TRUE,TRUE,2021-07-15T01:00:00Z,2021-07-14
401344137,s:40~l:46~e:401344137~c:401344137,2021-07-12T00:00Z,16637,TRUE,FALSE,FALSE,FALSE,2021-07-12T00:00Z,event,NBA Finals - Game 3,17,FINAL,5777,Fiserv Forum,Milwaukee,WI,17341,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,120,TRUE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,100,FALSE,401344137,2021,3,"",TRUE,TRUE,TRUE,2021-07-12T00:00:00Z,2021-07-11
401344136,s:40~l:46~e:401344136~c:401344136,2021-07-09T01:00Z,16583,TRUE,FALSE,FALSE,FALSE,2021-07-09T01:00Z,event,NBA Finals - Game 2,17,FINAL,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,118,TRUE,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,108,FALSE,401344136,2021,3,"",TRUE,TRUE,TRUE,2021-07-09T01:00:00Z,2021-07-08
401344135,s:40~l:46~e:401344135~c:401344135,2021-07-07T01:00Z,16557,TRUE,FALSE,FALSE,FALSE,2021-07-07T01:00Z,event,NBA Finals - Game 1,17,FINAL,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,118,TRUE,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,105,FALSE,401344135,2021,3,"",TRUE,TRUE,TRUE,2021-07-07T01:00:00Z,2021-07-06
401337345,s:40~l:46~e:401337345~c:401337345,2021-07-04T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2021-07-04T00:30Z,event,East Finals - Game 6,16,SEMI,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,TRUE,1827,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,107,FALSE,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,118,TRUE,401337345,2021,3,"",TRUE,TRUE,TRUE,2021-07-04T00:30:00Z,2021-07-03
401337344,s:40~l:46~e:401337344~c:401337344,2021-07-02T00:30Z,16389,TRUE,FALSE,FALSE,FALSE,2021-07-02T00:30Z,event,East Finals - Game 5,16,SEMI,5777,Fiserv Forum,Milwaukee,WI,17341,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,123,TRUE,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,TRUE,1827,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,112,FALSE,401337344,2021,3,"",TRUE,TRUE,TRUE,2021-07-02T00:30:00Z,2021-07-01
401337338,s:40~l:46~e:401337338~c:401337338,2021-07-01T01:00Z,18495,TRUE,FALSE,FALSE,FALSE,2021-07-01T01:00Z,event,West Finals - Game 6,16,SEMI,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,TRUE,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,103,FALSE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,130,TRUE,401337338,2021,3,"",TRUE,TRUE,TRUE,2021-07-01T01:00:00Z,2021-06-30
401337343,s:40~l:46~e:401337343~c:401337343,2021-06-30T00:30Z,16478,TRUE,FALSE,FALSE,FALSE,2021-06-30T00:30Z,event,East Finals - Game 4,16,SEMI,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,TRUE,1827,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,110,TRUE,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,88,FALSE,401337343,2021,3,"",TRUE,TRUE,TRUE,2021-06-30T00:30:00Z,2021-06-29
