id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
250623024,s:40~l:46~e:250623024~c:250623024,2005-06-24T00:00Z,18797,TRUE,FALSE,FALSE,FALSE,2005-06-24T00:00Z,event,FINALS,17,FINAL,780,AT&T Center,San Antonio,TX,18354,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,81,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,74,FALSE,250623024,2005,3,"",TRUE,TRUE,TRUE,2005-06-24T00:00:00Z,2005-06-23
250621024,s:40~l:46~e:250621024~c:250621024,2005-06-22T00:00Z,18797,TRUE,FALSE,FALSE,FALSE,2005-06-22T00:00Z,event,FINALS,17,FINAL,780,AT&T Center,San Antonio,TX,18354,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,86,FALSE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,95,TRUE,250621024,2005,3,"",TRUE,TRUE,TRUE,2005-06-22T00:00:00Z,2005-06-21
250619008,s:40~l:46~e:250619008~c:250619008,2005-06-20T01:00Z,22076,TRUE,FALSE,FALSE,FALSE,2005-06-20T01:00Z,event,FINALS,17,FINAL,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0.0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,95,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,96,TRUE,250619008,2005,3,OT,TRUE,TRUE,TRUE,2005-06-20T01:00:00Z,2005-06-19
250616008,s:40~l:46~e:250616008~c:250616008,2005-06-17T01:00Z,22076,TRUE,FALSE,FALSE,FALSE,2005-06-17T01:00Z,event,FINALS,17,FINAL,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,102,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,71,FALSE,250616008,2005,3,"",TRUE,TRUE,TRUE,2005-06-17T01:00:00Z,2005-06-16
250614008,s:40~l:46~e:250614008~c:250614008,2005-06-15T01:00Z,22076,TRUE,FALSE,FALSE,FALSE,2005-06-15T01:00Z,event,FINALS,17,FINAL,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,96,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,79,FALSE,250614008,2005,3,"",TRUE,TRUE,TRUE,2005-06-15T01:00:00Z,2005-06-14
250612024,s:40~l:46~e:250612024~c:250612024,2005-06-13T00:00Z,18797,TRUE,FALSE,FALSE,FALSE,2005-06-13T00:00Z,event,FINALS,17,FINAL,780,AT&T Center,San Antonio,TX,18354,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,97,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,76,FALSE,250612024,2005,3,"",TRUE,TRUE,TRUE,2005-06-13T00:00:00Z,2005-06-12
250609024,s:40~l:46~e:250609024~c:250609024,2005-06-10T00:00Z,18797,TRUE,FALSE,FALSE,FALSE,2005-06-10T00:00Z,event,FINALS,17,FINAL,780,AT&T Center,San Antonio,TX,18354,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,84,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,69,FALSE,250609024,2005,3,"",TRUE,TRUE,TRUE,2005-06-10T00:00:00Z,2005-06-09
250606014,s:40~l:46~e:250606014~c:250606014,2005-06-07T00:00Z,20241,TRUE,FALSE,FALSE,FALSE,2005-06-07T00:00Z,event,PLAYOFFS,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,82,FALSE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,88,TRUE,250606014,2005,3,"",TRUE,TRUE,TRUE,2005-06-07T00:00:00Z,2005-06-06
250604008,s:40~l:46~e:250604008~c:250604008,2005-06-05T00:00Z,22076,TRUE,FALSE,FALSE,FALSE,2005-06-05T00:00Z,event,PLAYOFFS,16,SEMI,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,91,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,66,FALSE,250604008,2005,3,"",TRUE,TRUE,TRUE,2005-06-05T00:00:00Z,2005-06-04
250602014,s:40~l:46~e:250602014~c:250602014,2005-06-03T00:00Z,20225,TRUE,FALSE,FALSE,FALSE,2005-06-03T00:00Z,event,PLAYOFFS,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,88,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,76,FALSE,250602014,2005,3,"",TRUE,TRUE,TRUE,2005-06-03T00:00:00Z,2005-06-02
