id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
400954514,s:40~l:46~e:400954514~c:400954514,2017-06-13T01:00Z,19596,TRUE,FALSE,FALSE,FALSE,2017-06-13T01:00Z,event,NBA FINALS - GAME 5,17,FINAL,2465,ORACLE Arena,Oakland,CA,19596,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,129,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,120,FALSE,400954514,2017,3,"",TRUE,TRUE,TRUE,2017-06-13T01:00:00Z,2017-06-12
400954513,s:40~l:46~e:400954513~c:400954513,2017-06-10T01:00Z,20562,TRUE,FALSE,FALSE,FALSE,2017-06-10T01:00Z,event,NBA FINALS - GAME 4,17,FINAL,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,137,TRUE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,116,FALSE,400954513,2017,3,"",TRUE,TRUE,TRUE,2017-06-10T01:00:00Z,2017-06-09
400954512,s:40~l:46~e:400954512~c:400954512,2017-06-08T01:00Z,20562,TRUE,FALSE,FALSE,FALSE,2017-06-08T01:00Z,event,NBA FINALS - GAME 3,17,FINAL,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,113,FALSE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,118,TRUE,400954512,2017,3,"",TRUE,TRUE,TRUE,2017-06-08T01:00:00Z,2017-06-07
400954511,s:40~l:46~e:400954511~c:400954511,2017-06-05T00:00Z,19596,TRUE,FALSE,FALSE,FALSE,2017-06-05T00:00Z,event,NBA FINALS - GAME 2,17,FINAL,2465,ORACLE Arena,Oakland,CA,19596,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,132,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,113,FALSE,400954511,2017,3,"",TRUE,TRUE,TRUE,2017-06-05T00:00:00Z,2017-06-04
400954510,s:40~l:46~e:400954510~c:400954510,2017-06-02T01:00Z,19596,TRUE,FALSE,FALSE,FALSE,2017-06-02T01:00Z,event,NBA FINALS - GAME 1,17,FINAL,2465,ORACLE Arena,Oakland,CA,19596,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,113,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,91,FALSE,400954510,2017,3,"",TRUE,TRUE,TRUE,2017-06-02T01:00:00Z,2017-06-01
400953698,s:40~l:46~e:400953698~c:400953698,2017-05-26T00:30Z,18624,TRUE,FALSE,FALSE,FALSE,2017-05-26T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 5,16,SEMI,1824,TD Garden,Boston,MA,19156,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,102,FALSE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,135,TRUE,400953698,2017,3,"",TRUE,TRUE,TRUE,2017-05-26T00:30:00Z,2017-05-25
400953697,s:40~l:46~e:400953697~c:400953697,2017-05-24T00:30Z,20562,TRUE,FALSE,FALSE,FALSE,2017-05-24T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 4,16,SEMI,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,112,TRUE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,99,FALSE,400953697,2017,3,"",TRUE,TRUE,TRUE,2017-05-24T00:30:00Z,2017-05-23
400953594,s:40~l:46~e:400953594~c:400953594,2017-05-23T01:00Z,18466,TRUE,FALSE,FALSE,FALSE,2017-05-23T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 4,16,SEMI,780,AT&T Center,San Antonio,TX,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,115,FALSE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,129,TRUE,400953594,2017,3,"",TRUE,TRUE,TRUE,2017-05-23T01:00:00Z,2017-05-22
400953696,s:40~l:46~e:400953696~c:400953696,2017-05-22T00:30Z,20562,TRUE,FALSE,FALSE,FALSE,2017-05-22T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 3,16,SEMI,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,108,FALSE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,111,TRUE,400953696,2017,3,"",TRUE,TRUE,TRUE,2017-05-22T00:30:00Z,2017-05-21
400953593,s:40~l:46~e:400953593~c:400953593,2017-05-21T01:00Z,18792,TRUE,FALSE,FALSE,FALSE,2017-05-21T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 3,16,SEMI,780,AT&T Center,San Antonio,TX,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,108,FALSE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,120,TRUE,400953593,2017,3,"",TRUE,TRUE,TRUE,2017-05-21T01:00:00Z,2017-05-20
