id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,venue_address_state,home_color,home_alternate_color,home_venue_id,home_logo,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
400467339,s:40~l:46~e:400467339~c:400467339,2013-06-21T01:00Z,19900,TRUE,FALSE,FALSE,FALSE,2013-06-21T01:00Z,event,NBA FINALS - GAME 7,17,FINAL,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,95,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,88,FALSE,400467339,2013,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2013-06-21T01:00:00Z,2013-06-20
400467338,s:40~l:46~e:400467338~c:400467338,2013-06-19T01:00Z,19900,TRUE,FALSE,FALSE,FALSE,2013-06-19T01:00Z,event,NBA FINALS - GAME 6,17,FINAL,3438,FTX Arena,Miami,19600,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,103,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,100,FALSE,400467338,2013,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,OT,TRUE,TRUE,TRUE,2013-06-19T01:00:00Z,2013-06-18
400467337,s:40~l:46~e:400467337~c:400467337,2013-06-17T00:00Z,18581,TRUE,FALSE,FALSE,FALSE,2013-06-17T00:00Z,event,NBA FINALS - GAME 5,17,FINAL,780,AT&T Center,San Antonio,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,114,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,104,FALSE,400467337,2013,3,TX,000000,061922,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,"",TRUE,TRUE,TRUE,2013-06-17T00:00:00Z,2013-06-16
400467336,s:40~l:46~e:400467336~c:400467336,2013-06-14T01:00Z,18581,TRUE,FALSE,FALSE,FALSE,2013-06-14T01:00Z,event,NBA FINALS - GAME 4,17,FINAL,780,AT&T Center,San Antonio,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,93,FALSE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,109,TRUE,400467336,2013,3,TX,000000,061922,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,"",TRUE,TRUE,TRUE,2013-06-14T01:00:00Z,2013-06-13
400467335,s:40~l:46~e:400467335~c:400467335,2013-06-12T01:00Z,18581,TRUE,FALSE,FALSE,FALSE,2013-06-12T01:00Z,event,NBA FINALS - GAME 3,17,FINAL,780,AT&T Center,San Antonio,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,113,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,77,FALSE,400467335,2013,3,TX,000000,061922,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,"",TRUE,TRUE,TRUE,2013-06-12T01:00:00Z,2013-06-11
400467334,s:40~l:46~e:400467334~c:400467334,2013-06-10T00:00Z,19900,TRUE,FALSE,FALSE,FALSE,2013-06-10T00:00Z,event,NBA FINALS - GAME 2,17,FINAL,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,103,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,84,FALSE,400467334,2013,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2013-06-10T00:00:00Z,2013-06-09
400467195,s:40~l:46~e:400467195~c:400467195,2013-06-07T01:00Z,19775,TRUE,FALSE,FALSE,FALSE,2013-06-07T01:00Z,event,NBA FINALS - GAME 1,17,FINAL,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,88,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,92,TRUE,400467195,2013,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2013-06-07T01:00:00Z,2013-06-06
400466600,s:40~l:46~e:400466600~c:400466600,2013-06-04T00:30Z,20025,TRUE,FALSE,FALSE,FALSE,2013-06-04T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 7,16,SEMI,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,99,TRUE,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,TRUE,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,76,FALSE,400466600,2013,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2013-06-04T00:30:00Z,2013-06-03
400466599,s:40~l:46~e:400466599~c:400466599,2013-06-02T00:30Z,18165,TRUE,FALSE,FALSE,FALSE,2013-06-02T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 6,16,SEMI,2183,Gainbridge Fieldhouse,Indianapolis,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,TRUE,91,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,77,FALSE,400466599,2013,3,IN,061642,00275d,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,"",TRUE,TRUE,TRUE,2013-06-02T00:30:00Z,2013-06-01
400466598,s:40~l:46~e:400466598~c:400466598,2013-05-31T00:30Z,19913,TRUE,FALSE,FALSE,FALSE,2013-05-31T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 5,16,SEMI,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,90,TRUE,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,TRUE,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,79,FALSE,400466598,2013,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2013-05-31T00:30:00Z,2013-05-30
