id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
260620006,s:40~l:46~e:260620006~c:260620006,2006-06-21T00:00Z,20522,TRUE,FALSE,FALSE,FALSE,2006-06-21T00:00Z,event,FINALS,17,FINAL,516,American Airlines Center,Dallas,TX,19200,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,92,FALSE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,95,TRUE,260620006,2006,3,"",FALSE,TRUE,TRUE,2006-06-21T00:00:00Z,2006-06-20
260618014,s:40~l:46~e:260618014~c:260618014,2006-06-19T01:00Z,20145,TRUE,FALSE,FALSE,FALSE,2006-06-19T01:00Z,event,FINALS,17,FINAL,3438,FTX Arena,Miami,FL,19600,TRUE,0,0.0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,101,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,100,FALSE,260618014,2006,3,OT,FALSE,TRUE,TRUE,2006-06-19T01:00:00Z,2006-06-18
260615014,s:40~l:46~e:260615014~c:260615014,2006-06-16T01:00Z,20145,TRUE,FALSE,FALSE,FALSE,2006-06-16T01:00Z,event,FINALS,17,FINAL,3438,FTX Arena,Miami,FL,19600,TRUE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,98,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,74,FALSE,260615014,2006,3,"",TRUE,TRUE,TRUE,2006-06-16T01:00:00Z,2006-06-15
260613014,s:40~l:46~e:260613014~c:260613014,2006-06-14T01:00Z,20145,TRUE,FALSE,FALSE,FALSE,2006-06-14T01:00Z,event,FINALS,17,FINAL,3438,FTX Arena,Miami,FL,19600,TRUE,1,1.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,98,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,96,FALSE,260613014,2006,3,"",TRUE,TRUE,TRUE,2006-06-14T01:00:00Z,2006-06-13
260611006,s:40~l:46~e:260611006~c:260611006,2006-06-12T00:00Z,20459,TRUE,FALSE,FALSE,FALSE,2006-06-12T00:00Z,event,FINALS,17,FINAL,516,American Airlines Center,Dallas,TX,19200,FALSE,12,12.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,99,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,85,FALSE,260611006,2006,3,"",TRUE,TRUE,TRUE,2006-06-12T00:00:00Z,2006-06-11
260608006,s:40~l:46~e:260608006~c:260608006,2006-06-09T00:00Z,20475,TRUE,FALSE,FALSE,FALSE,2006-06-09T00:00Z,event,FINALS,17,FINAL,516,American Airlines Center,Dallas,TX,19200,FALSE,4,4.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,90,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,80,FALSE,260608006,2006,3,"",TRUE,TRUE,TRUE,2006-06-09T00:00:00Z,2006-06-08
260603021,s:40~l:46~e:260603021~c:260603021,2006-06-03T21:30Z,18422,TRUE,FALSE,FALSE,FALSE,2006-06-03T21:30Z,event,PLAYOFFS,16,SEMI,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,93,FALSE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,102,TRUE,260603021,2006,3,"",TRUE,TRUE,TRUE,2006-06-03T21:30:00Z,2006-06-03
260602014,s:40~l:46~e:260602014~c:260602014,2006-06-03T00:00Z,20258,TRUE,FALSE,FALSE,FALSE,2006-06-03T00:00Z,event,PLAYOFFS,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,19,19.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,95,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,78,FALSE,260602014,2006,3,"",TRUE,TRUE,TRUE,2006-06-03T00:00:00Z,2006-06-02
260601006,s:40~l:46~e:260601006~c:260601006,2006-06-01T23:30Z,20977,TRUE,FALSE,FALSE,FALSE,2006-06-01T23:30Z,event,PLAYOFFS,16,SEMI,516,American Airlines Center,Dallas,TX,19200,FALSE,10,10.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,117,TRUE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,101,FALSE,260601006,2006,3,"",TRUE,TRUE,TRUE,2006-06-01T23:30:00Z,2006-06-01
260531008,s:40~l:46~e:260531008~c:260531008,2006-06-01T00:00Z,22076,TRUE,FALSE,FALSE,FALSE,2006-06-01T00:00Z,event,PLAYOFFS,16,SEMI,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,1,1.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,91,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,78,FALSE,260531008,2006,3,"",TRUE,TRUE,TRUE,2006-06-01T00:00:00Z,2006-05-31
260530021,s:40~l:46~e:260530021~c:260530021,2006-05-30T22:00Z,18422,TRUE,FALSE,FALSE,FALSE,2006-05-30T22:00Z,event,PLAYOFFS,16,SEMI,1949,Footprint Center,Phoenix,AZ,18055,TRUE,7,7.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,106,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,86,FALSE,260530021,2006,3,"",TRUE,TRUE,TRUE,2006-05-30T22:00:00Z,2006-05-30
260529014,s:40~l:46~e:260529014~c:260529014,2006-05-30T00:00Z,20248,TRUE,FALSE,FALSE,FALSE,2006-05-30T00:00Z,event,PLAYOFFS,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,24,24.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,89,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,78,FALSE,260529014,2006,3,"",TRUE,TRUE,TRUE,2006-05-30T00:00:00Z,2006-05-29
260528021,s:40~l:46~e:260528021~c:260528021,2006-05-28T21:30Z,18422,TRUE,FALSE,FALSE,FALSE,2006-05-28T21:30Z,event,PLAYOFFS,16,SEMI,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,88,FALSE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,95,TRUE,260528021,2006,3,"",TRUE,TRUE,TRUE,2006-05-28T21:30:00Z,2006-05-28
260527014,s:40~l:46~e:260527014~c:260527014,2006-05-28T00:00Z,20245,TRUE,FALSE,FALSE,FALSE,2006-05-28T00:00Z,event,PLAYOFFS,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,8,8.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,98,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,83,FALSE,260527014,2006,3,"",TRUE,TRUE,TRUE,2006-05-28T00:00:00Z,2006-05-27
260526006,s:40~l:46~e:260526006~c:260526006,2006-05-26T23:30Z,20934,TRUE,FALSE,FALSE,FALSE,2006-05-26T23:30Z,event,PLAYOFFS,16,SEMI,516,American Airlines Center,Dallas,TX,19200,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,105,TRUE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,98,FALSE,260526006,2006,3,"",TRUE,TRUE,TRUE,2006-05-26T23:30:00Z,2006-05-26
260525008,s:40~l:46~e:260525008~c:260525008,2006-05-26T00:00Z,22076,TRUE,FALSE,FALSE,FALSE,2006-05-26T00:00Z,event,PLAYOFFS,16,SEMI,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,92,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,88,FALSE,260525008,2006,3,"",TRUE,TRUE,TRUE,2006-05-26T00:00:00Z,2006-05-25
