id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
401442535,s:40~l:46~e:401442535~c:401442535,2022-06-17T01:00Z,19156,TRUE,FALSE,FALSE,FALSE,2022-06-17T01:00Z,event,NBA Finals - Game 6,17,FINAL,1824,TD Garden,Boston,MA,19156,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,90,FALSE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,103,TRUE,401442535,2022,3,"",TRUE,TRUE,TRUE,2022-06-17T01:00:00Z,2022-06-16
401442534,s:40~l:46~e:401442534~c:401442534,2022-06-14T01:00Z,18064,TRUE,FALSE,FALSE,FALSE,2022-06-14T01:00Z,event,NBA Finals - Game 5,17,FINAL,6270,Chase Center,San Francisco,CA,18064,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,104,TRUE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,94,FALSE,401442534,2022,3,"",TRUE,TRUE,TRUE,2022-06-14T01:00:00Z,2022-06-13
401442533,s:40~l:46~e:401442533~c:401442533,2022-06-11T01:00Z,19156,TRUE,FALSE,FALSE,FALSE,2022-06-11T01:00Z,event,NBA Finals - Game 4,17,FINAL,1824,TD Garden,Boston,MA,19156,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,97,FALSE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,107,TRUE,401442533,2022,3,"",TRUE,TRUE,TRUE,2022-06-11T01:00:00Z,2022-06-10
401442532,s:40~l:46~e:401442532~c:401442532,2022-06-09T01:00Z,19156,TRUE,FALSE,FALSE,FALSE,2022-06-09T01:00Z,event,NBA Finals - Game 3,17,FINAL,1824,TD Garden,Boston,MA,19156,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,116,TRUE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,100,FALSE,401442532,2022,3,"",TRUE,TRUE,TRUE,2022-06-09T01:00:00Z,2022-06-08
401442531,s:40~l:46~e:401442531~c:401442531,2022-06-06T00:00Z,18064,TRUE,FALSE,FALSE,FALSE,2022-06-06T00:00Z,event,NBA Finals - Game 2,17,FINAL,6270,Chase Center,San Francisco,CA,18064,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,107,TRUE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,88,FALSE,401442531,2022,3,"",TRUE,TRUE,TRUE,2022-06-06T00:00:00Z,2022-06-05
401442530,s:40~l:46~e:401442530~c:401442530,2022-06-03T01:00Z,18064,TRUE,FALSE,FALSE,FALSE,2022-06-03T01:00Z,event,NBA Finals - Game 1,17,FINAL,6270,Chase Center,San Francisco,CA,18064,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,108,FALSE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,120,TRUE,401442530,2022,3,"",TRUE,TRUE,TRUE,2022-06-03T01:00:00Z,2022-06-02
401438136,s:40~l:46~e:401438136~c:401438136,2022-05-30T00:30Z,20200,TRUE,FALSE,FALSE,FALSE,2022-05-30T00:30Z,event,East Finals - Game 7,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,96,FALSE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,100,TRUE,401438136,2022,3,"",TRUE,TRUE,TRUE,2022-05-30T00:30:00Z,2022-05-29
401438135,s:40~l:46~e:401438135~c:401438135,2022-05-28T00:30Z,19156,TRUE,FALSE,FALSE,FALSE,2022-05-28T00:30Z,event,East Finals - Game 6,16,SEMI,1824,TD Garden,Boston,MA,19156,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,103,FALSE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,111,TRUE,401438135,2022,3,"",TRUE,TRUE,TRUE,2022-05-28T00:30:00Z,2022-05-27
401438948,s:40~l:46~e:401438948~c:401438948,2022-05-27T01:00Z,18064,TRUE,FALSE,FALSE,FALSE,2022-05-27T01:00Z,event,West Finals - Game 5,16,SEMI,6270,Chase Center,San Francisco,CA,18064,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,120,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,516,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,110,FALSE,401438948,2022,3,"",TRUE,TRUE,TRUE,2022-05-27T01:00:00Z,2022-05-26
401438134,s:40~l:46~e:401438134~c:401438134,2022-05-26T00:30Z,19819,TRUE,FALSE,FALSE,FALSE,2022-05-26T00:30Z,event,East Finals - Game 5,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,80,FALSE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,93,TRUE,401438134,2022,3,"",TRUE,TRUE,TRUE,2022-05-26T00:30:00Z,2022-05-25
